Rank (Overall rank based on Gridiron AI predicted points.),Name,Team,Pos.,Bye,Injury,Value (How valuable a player is overall taking into account both projected points and how difficult it is to find a replacement player at their position.),Pos. Rank (Rank sorted by position and based on Gridiron AI predicted points.),Expected Points (Expected fantasy points based on the selected scoring settings.),Downside Points (Downside fantasy points based on the selected scoring settings.),Upside Points (Upside fantasy points based on the selected scoring settings.),"3-G Points (The average points scored over the last three games excluding games where the player was inactive due to bye week, suspension, or injury.)","3-G Point Spread (The difference between max and min points in the last 3 weeks ignoring bye weeks, injuries, and suspensions. Requires the player to have been active in at least two of the last three games.)","3-G Yards (Average sum of passing, rushing, and receiving yards over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G TDs (Average sum of passing, rushing, and receiving touchdowns over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G Turnovers (Average sum of fumbles and interceptions over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","LG Touches (Sum of passing attempts, rushing attempts, and targets last week.)","3-G Touches (Average sum of passing attempts, rushing attempts, and targets over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Snap % (Percent of snaps the player was on the field last week.),"3-G Snap % (Average percent of snaps the player was on the field over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Touch % (Percent of snaps last week the player accrued a touch when they were on the field for the play.),"3-G Touch % (Average percent of snaps over the past three weeks the player accrued a touch when they were on the field for the play. Skip BYE weeks, injuries, and suspensions.)",Gridiron ID (The Gridiron AI player ID),FanDuel ID (The FanDuel player ID),DraftKings ID (The DraftKings player ID)
42,Kyren Williams,LA,RB,8,,15,7,200.3,37.9,364.8,18.1,3.7,100.5,1,0,,20,,89,,42.7,28766,104433,1167361
43,De'Von Achane,MIA,RB,12,,16,8,199,43.5,356.5,18.3,25.2,116.3,0.7,0,11,15.7,70,66,22.4,36,29245,,1231820
44,Alvin Kamara,NO,RB,11,D,17,9,197.6,35.3,363.2,,,,,,,,,,,,4681,42104,750846
45,Ladd McConkey,LAC,WR,12,,36,12,197.5,94.3,302.4,20.2,14.7,92,0.7,0,8,8,68,72.5,15.7,16,30009,,1218643
46,Garrett Wilson,NYJ,WR,9,,38,13,194.5,99.4,291.9,12.7,8.5,57,0.3,0.3,6,7,98,93.7,9.5,11.7,28614,103564,1164889
47,Zay Flowers,BAL,WR,7,D,40,14,194.2,92.1,298.2,7.8,12.2,51.7,0,0,3,5.7,20,57.3,21.4,16.8,29183,,1177053
48,D.J. Moore,CHI,WR,5,,42,15,193.6,97.6,294.5,16.1,9.9,74.3,0.3,0.3,11,10.7,98,96,18,17.7,5022,63043,877790
49,Trey McBride,ARI,TE,8,,13,2,193.4,92,296.4,18.3,25.3,69.3,0.7,0,11,10.3,89,91.3,19,15.7,28659,91750,1108161
50,Jaxon Smith-Njigba,SEA,WR,8,,47,16,191.2,89.7,295.5,11.8,18.7,48.3,0.3,0,6,8.3,95,93,11.5,15.6,29181,,1214087
51,James Cook,BUF,RB,7,,23,10,188.8,37.2,343.1,15.2,16.8,69,1.3,0.3,10,13,22,34.7,66.7,60.1,28666,91626,1131012
52,James Conner,ARI,RB,8,,25,11,188.3,41.3,337.6,14.7,23.8,87,0.5,0,,13,,29.5,,59.8,4603,40687,742390
53,Breece Hall,NYJ,RB,9,,27,12,187,36,343.1,12.8,11.9,71.7,0.3,0,17,16,70,65.3,37.8,37,28640,103064,1162537
54,Mike Evans,TB,WR,9,,50,17,186.6,93.4,281.9,19.8,17.8,85,0.7,0,14,10.3,88,77,23.7,18.8,3468,32384,593587
55,D.K. Metcalf,PIT,WR,5,,51,18,185.9,93.2,281.6,12.1,7.5,50.7,0.7,0,5,5,89,88.7,10.2,9.7,27092,73048,945633
56,Joe Mixon,HOU,RB,6,Q,28,13,185.8,36.5,337.9,5.9,4.3,46,0,0,6,11.3,18,44,54.5,46.6,4584,52442,820727
57,Marvin Harrison Jr.,ARI,WR,8,,52,19,185.8,83.6,290.6,13.6,9.4,66,0.3,0,6,8,74,79.7,12.5,13.9,29992,,
58,Courtland Sutton,DEN,WR,12,,57,20,183.9,91,280.6,15.8,10.8,67.7,0.7,0,7,7.3,65,79,14.6,15.4,5037,57403,838878
59,Jakobi Meyers,LVR,WR,8,,59,21,183.3,88.2,284,16.8,21.2,75,0.7,0,10,8,94,89.7,20.8,14.1,27189,63634,880151
60,Travis Kelce,KC,TE,10,,21,3,183,90.5,277.6,15.2,14.4,57,0.5,0,,9,,88.5,,15.4,3402,33076,448240
61,Jonathan Taylor,IND,RB,11,,29,14,182.1,31.3,337.3,30.8,14.8,178,2,0,36,33.7,72,78.7,64.3,59.6,27484,89675,1065406
62,Kenneth Walker III,SEA,RB,8,,32,15,181.2,39.5,324,13.9,,59,0,0,,16,,59,,42.1,28645,103342,1164402
63,Nico Collins,HOU,WR,6,,62,22,180.4,89.1,273.8,12.2,5.9,52.3,0.3,0,5,7,18,58,45.5,26.8,28094,91419,1074698
64,Jayden Reed,GB,WR,5,,63,23,178.9,80,281.1,5.9,9.5,46,0,0.3,5,4.7,69,66,11.1,10.8,29211,,1123398
